department,sector,nivel,year,gender,indicator,value
BOLIVIA,Total,Total,2011,Total,Poblacion Matriculada,2707.8100000000086
BOLIVIA,Público,Total,2011,Total,Poblacion Matriculada,2418.67700000001
BOLIVIA,Privado,Total,2011,Total,Poblacion Matriculada,289.1329999999994
Chuquisaca,Total,Total,2011,Total,Poblacion Matriculada,159.22300000000027
Chuquisaca,Público,Total,2011,Total,Poblacion Matriculada,147.41299999999998
Chuquisaca,Privado,Total,2011,Total,Poblacion Matriculada,11.810000000000013
La Paz,Total,Total,2011,Total,Poblacion Matriculada,717.3890000000101
La Paz,Público,Total,2011,Total,Poblacion Matriculada,627.8279999999899
La Paz,Privado,Total,2011,Total,Poblacion Matriculada,89.56100000000029
Cochabamba,Total,Total,2011,Total,Poblacion Matriculada,499.77400000000654
Cochabamba,Público,Total,2011,Total,Poblacion Matriculada,445.5659999999998
Cochabamba,Privado,Total,2011,Total,Poblacion Matriculada,54.207999999999814
Oruro,Total,Total,2011,Total,Poblacion Matriculada,122.45699999999992
Oruro,Público,Total,2011,Total,Poblacion Matriculada,113.80300000000004
Oruro,Privado,Total,2011,Total,Poblacion Matriculada,8.654000000000003
Potosí,Total,Total,2011,Total,Poblacion Matriculada,223.2170000000013
Potosí,Público,Total,2011,Total,Poblacion Matriculada,217.27700000000152
Potosí,Privado,Total,2011,Total,Poblacion Matriculada,5.9399999999999915
Tarija,Total,Total,2011,Total,Poblacion Matriculada,124.56799999999963
Tarija,Público,Total,2011,Total,Poblacion Matriculada,115.96400000000044
Tarija,Privado,Total,2011,Total,Poblacion Matriculada,8.60399999999999
Santa Cruz,Total,Total,2011,Total,Poblacion Matriculada,705.4260000000024
Santa Cruz,Público,Total,2011,Total,Poblacion Matriculada,607.2660000000069
Santa Cruz,Privado,Total,2011,Total,Poblacion Matriculada,98.15999999999988
Beni,Total,Total,2011,Total,Poblacion Matriculada,131.20999999999896
Beni,Público,Total,2011,Total,Poblacion Matriculada,120.95200000000041
Beni,Privado,Total,2011,Total,Poblacion Matriculada,10.257999999999983
Pando,Total,Total,2011,Total,Poblacion Matriculada,24.545999999999943
Pando,Público,Total,2011,Total,Poblacion Matriculada,22.60799999999994
Pando,Privado,Total,2011,Total,Poblacion Matriculada,1.9379999999999993
Pando,Total,INICIAL,2011,Total,Poblacion Matriculada,258.12100000000174
Pando,Público,Total,2011,Total,Poblacion Matriculada,224.86299999999778
Pando,Privado,Total,2011,Total,Poblacion Matriculada,33.25800000000004
Chuquisaca,Total,Total,2011,Total,Poblacion Matriculada,13.995000000000019
Chuquisaca,Público,Total,2011,Total,Poblacion Matriculada,13.043000000000015
Chuquisaca,Privado,Total,2011,Total,Poblacion Matriculada,0.9519999999999995
La Paz,Total,Total,2011,Total,Poblacion Matriculada,62.27099999999994
La Paz,Público,Total,2011,Total,Poblacion Matriculada,53.046999999999855
La Paz,Privado,Total,2011,Total,Poblacion Matriculada,9.224000000000004
Cochabamba,Total,Total,2011,Total,Poblacion Matriculada,45.348000000000155
Cochabamba,Público,Total,2011,Total,Poblacion Matriculada,38.16599999999999
Cochabamba,Privado,Total,2011,Total,Poblacion Matriculada,7.181999999999993
Oruro,Total,Total,2011,Total,Poblacion Matriculada,11.506000000000007
Oruro,Público,Total,2011,Total,Poblacion Matriculada,10.627000000000002
Oruro,Privado,Total,2011,Total,Poblacion Matriculada,0.8790000000000001
Potosí,Total,Total,2011,Total,Poblacion Matriculada,27.33800000000004
Potosí,Público,Total,2011,Total,Poblacion Matriculada,26.63300000000011
Potosí,Privado,Total,2011,Total,Poblacion Matriculada,0.705
Tarija,Total,Total,2011,Total,Poblacion Matriculada,13.297999999999996
Tarija,Público,Total,2011,Total,Poblacion Matriculada,12.28400000000003
Tarija,Privado,Total,2011,Total,Poblacion Matriculada,1.014
Santa Cruz,Total,Total,2011,Total,Poblacion Matriculada,68.58899999999998
Santa Cruz,Público,Total,2011,Total,Poblacion Matriculada,56.68399999999991
Santa Cruz,Privado,Total,2011,Total,Poblacion Matriculada,11.904999999999992
Beni,Total,Total,2011,Total,Poblacion Matriculada,12.902999999999992
Beni,Público,Total,2011,Total,Poblacion Matriculada,11.699999999999973
Beni,Privado,Total,2011,Total,Poblacion Matriculada,1.2029999999999998
Pando,Total,Total,2011,Total,Poblacion Matriculada,2.872999999999999
Pando,Público,Total,2011,Total,Poblacion Matriculada,2.6789999999999994
Pando,Privado,Total,2011,Total,Poblacion Matriculada,0.19400000000000006
Pando,Total,PRIMARIA,2011,Total,Poblacion Matriculada,1389.7089999999828
Pando,Público,Total,2011,Total,Poblacion Matriculada,1272.1650000000027
Pando,Privado,Total,2011,Total,Poblacion Matriculada,117.54399999999981
Chuquisaca,Total,Total,2011,Total,Poblacion Matriculada,88.56500000000057
Chuquisaca,Público,Total,2011,Total,Poblacion Matriculada,83.71100000000045
Chuquisaca,Privado,Total,2011,Total,Poblacion Matriculada,4.853999999999998
La Paz,Total,Total,2011,Total,Poblacion Matriculada,345.52899999999835
La Paz,Público,Total,2011,Total,Poblacion Matriculada,310.1039999999998
La Paz,Privado,Total,2011,Total,Poblacion Matriculada,35.42499999999998
Cochabamba,Total,Total,2011,Total,Poblacion Matriculada,264.41299999999814
Cochabamba,Público,Total,2011,Total,Poblacion Matriculada,242.1870000000002
Cochabamba,Privado,Total,2011,Total,Poblacion Matriculada,22.225999999999978
Oruro,Total,Total,2011,Total,Poblacion Matriculada,59.691000000000024
Oruro,Público,Total,2011,Total,Poblacion Matriculada,56.235000000000184
Oruro,Privado,Total,2011,Total,Poblacion Matriculada,3.4560000000000017
Potosí,Total,Total,2011,Total,Poblacion Matriculada,118.82900000000025
Potosí,Público,Total,2011,Total,Poblacion Matriculada,116.69700000000027
Potosí,Privado,Total,2011,Total,Poblacion Matriculada,2.132000000000001
Tarija,Total,Total,2011,Total,Poblacion Matriculada,61.03299999999992
Tarija,Público,Total,2011,Total,Poblacion Matriculada,57.56400000000003
Tarija,Privado,Total,2011,Total,Poblacion Matriculada,3.468999999999999
Santa Cruz,Total,Total,2011,Total,Poblacion Matriculada,365.37599999999895
Santa Cruz,Público,Total,2011,Total,Poblacion Matriculada,324.48699999999866
Santa Cruz,Privado,Total,2011,Total,Poblacion Matriculada,40.889000000000145
Beni,Total,Total,2011,Total,Poblacion Matriculada,71.71300000000018
Beni,Público,Total,2011,Total,Poblacion Matriculada,67.52
Beni,Privado,Total,2011,Total,Poblacion Matriculada,4.193000000000005
Pando,Total,Total,2011,Total,Poblacion Matriculada,14.559999999999961
Pando,Público,Total,2011,Total,Poblacion Matriculada,13.659999999999979
Pando,Privado,Total,2011,Total,Poblacion Matriculada,0.9000000000000004
Pando,Total,SECUNDARIA,2011,Total,Poblacion Matriculada,1059.97999999998
Pando,Público,Total,2011,Total,Poblacion Matriculada,921.6489999999775
Pando,Privado,Total,2011,Total,Poblacion Matriculada,138.33099999999914
Chuquisaca,Total,Total,2011,Total,Poblacion Matriculada,56.66300000000012
Chuquisaca,Público,Total,2011,Total,Poblacion Matriculada,50.658999999999935
Chuquisaca,Privado,Total,2011,Total,Poblacion Matriculada,6.004000000000007
La Paz,Total,Total,2011,Total,Poblacion Matriculada,309.5890000000018
La Paz,Público,Total,2011,Total,Poblacion Matriculada,264.6769999999965
La Paz,Privado,Total,2011,Total,Poblacion Matriculada,44.9120000000002
Cochabamba,Total,Total,2011,Total,Poblacion Matriculada,190.0130000000006
Cochabamba,Público,Total,2011,Total,Poblacion Matriculada,165.21300000000107
Cochabamba,Privado,Total,2011,Total,Poblacion Matriculada,24.800000000000008
Oruro,Total,Total,2011,Total,Poblacion Matriculada,51.26000000000003
Oruro,Público,Total,2011,Total,Poblacion Matriculada,46.94099999999985
Oruro,Privado,Total,2011,Total,Poblacion Matriculada,4.318999999999999
Potosí,Total,Total,2011,Total,Poblacion Matriculada,77.04999999999995
Potosí,Público,Total,2011,Total,Poblacion Matriculada,73.94699999999993
Potosí,Privado,Total,2011,Total,Poblacion Matriculada,3.102999999999997
Tarija,Total,Total,2011,Total,Poblacion Matriculada,50.23700000000017
Tarija,Público,Total,2011,Total,Poblacion Matriculada,46.115999999999815
Tarija,Privado,Total,2011,Total,Poblacion Matriculada,4.120999999999994
Santa Cruz,Total,Total,2011,Total,Poblacion Matriculada,271.4609999999994
Santa Cruz,Público,Total,2011,Total,Poblacion Matriculada,226.0949999999988
Santa Cruz,Privado,Total,2011,Total,Poblacion Matriculada,45.36599999999999
Beni,Total,Total,2011,Total,Poblacion Matriculada,46.59400000000022
Beni,Público,Total,2011,Total,Poblacion Matriculada,41.73200000000002
Beni,Privado,Total,2011,Total,Poblacion Matriculada,4.861999999999995
Pando,Total,Total,2011,Total,Poblacion Matriculada,7.112999999999992
Pando,Público,Total,2011,Total,Poblacion Matriculada,6.269000000000005
Pando,Privado,Total,2011,Total,Poblacion Matriculada,0.8439999999999995
BOLIVIA,Total,Total,2011,Hombres,Poblacion Matriculada,1384.8359999999707
BOLIVIA,Público,Total,2011,Hombres,Poblacion Matriculada,1237.272000000009
BOLIVIA,Privado,Total,2011,Hombres,Poblacion Matriculada,147.56400000000096
Chuquisaca,Total,Total,2011,Hombres,Poblacion Matriculada,81.48800000000031
Chuquisaca,Público,Total,2011,Hombres,Poblacion Matriculada,75.48300000000017
Chuquisaca,Privado,Total,2011,Hombres,Poblacion Matriculada,6.005000000000006
La Paz,Total,Total,2011,Hombres,Poblacion Matriculada,367.01799999999855
La Paz,Público,Total,2011,Hombres,Poblacion Matriculada,320.9490000000008
La Paz,Privado,Total,2011,Hombres,Poblacion Matriculada,46.068999999999924
Cochabamba,Total,Total,2011,Hombres,Poblacion Matriculada,256.6859999999996
Cochabamba,Público,Total,2011,Hombres,Poblacion Matriculada,228.95899999999887
Cochabamba,Privado,Total,2011,Hombres,Poblacion Matriculada,27.72700000000001
Oruro,Total,Total,2011,Hombres,Poblacion Matriculada,62.829
Oruro,Público,Total,2011,Hombres,Poblacion Matriculada,58.33100000000021
